Date : 2026-01-24 18:26:42
Directory : /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode
Total : 1122 files,  1165357 codes, 206681 comments, 93290 blanks, all 1465328 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_exti.h                                                         | C++          |        129 |        142 |         45 |        316 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_fdcan.h                                                        | C++          |        622 |        634 |        187 |      1,443 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_flash.h                                                        | C++          |        362 |        531 |        125 |      1,018 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_flash_ex.h                                                     | C++          |         19 |         53 |         18 |         90 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_flash_ramfunc.h                                                | C++          |         15 |         46 |         14 |         75 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_fmac.h                                                         | C++          |        232 |        378 |        114 |        724 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_gpio.h                                                         | C++          |        114 |        164 |         49 |        327 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_gpio_ex.h                                                      | C++          |        196 |        108 |         37 |        341 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_hrtim.h                                                        | C++          |      3,054 |      1,660 |        440 |      5,154 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_i2c.h                                                          | C++          |        326 |        396 |        117 |        839 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_i2c_ex.h                                                       | C++          |         58 |        106 |         27 |        191 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_i2s.h                                                          | C++          |        204 |        272 |         79 |        555 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_irda.h                                                         | C++          |        287 |        479 |        127 |        893 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_irda_ex.h                                                      | C++          |        546 |         69 |         21 |        636 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_iwdg.h                                                         | C++          |         48 |        147 |         43 |        238 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_lptim.h                                                        | C++          |        326 |        428 |        124 |        878 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_nand.h                                                         | C++          |        149 |        156 |         74 |        379 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_nor.h                                                          | C++          |        124 |        147 |         56 |        327 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_opamp.h                                                        | C++          |        180 |        301 |         95 |        576 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_opamp_ex.h                                                     | C++          |         24 |         48 |         18 |         90 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_pcd.h                                                          | C++          |        510 |        352 |        130 |        992 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_pcd_ex.h                                                       | C++          |         21 |         47 |         20 |         88 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/STM32G4xx_HAL_Driver/Inc/stm32g4xx_hal_pwr.h                                                          | C++          |         97 |        240 |         75 |        412 |
