Date : 2026-01-24 18:26:42
Directory : /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode
Total : 1122 files,  1165357 codes, 206681 comments, 93290 blanks, all 1465328 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/Core/Include/mpu_armv7.h                                                                        | C++          |        122 |        125 |         26 |        273 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/Core/Include/mpu_armv8.h                                                                        | C++          |        168 |        135 |         44 |        347 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/Core/Include/tz_context.h                                                                       | C++          |         19 |         40 |         12 |         71 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/Core/Template/ARMv8-M/main_s.c                                                                  | C            |         16 |         32 |         11 |         59 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/Core/Template/ARMv8-M/tz_context.c                                                              | C            |        110 |         44 |         47 |        201 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/CMakeLists.txt                                                            | CMake        |        111 |          0 |         26 |        137 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/arr_desc/arr_desc.h                                      | C++          |        101 |         98 |         22 |        221 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest.h                                                  | C++          |         11 |          3 |          4 |         18 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_cycle.h                                            | C++          |         33 |         35 |         12 |         80 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_define.h                                           | C++          |         13 |         18 |          7 |         38 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_fw.h                                               | C++          |        123 |        108 |         52 |        283 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_group.h                                            | C++          |         25 |         29 |         13 |         67 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_group_call.h                                       | C++          |         80 |         35 |         12 |        127 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_group_define.h                                     | C++          |         33 |         37 |         18 |         88 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_pf.h                                               | C++          |         27 |         42 |         17 |         86 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_systick.h                                          | C++          |         61 |         25 |          9 |         95 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_test.h                                             | C++          |         38 |         45 |         18 |        101 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_test_call.h                                        | C++          |         76 |         36 |         10 |        122 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_test_define.h                                      | C++          |         64 |         45 |         25 |        134 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_test_ret.h                                         | C++          |          8 |          6 |          4 |         18 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/jtest_util.h                                             | C++          |         11 |         10 |          7 |         28 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/opt_arg/opt_arg.h                                        | C++          |          5 |          6 |          5 |         16 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/opt_arg/pp_narg.h                                        | C++          |         23 |          0 |          3 |         26 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/opt_arg/splice.h                                         | C++          |          6 |          0 |          3 |          9 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/inc/util/util.h                                              | C++          |         18 |         24 |         11 |         53 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/src/jtest_cycle.c                                            | C            |          3 |          4 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/src/jtest_dump_str_segments.c                                | C            |         27 |          6 |          4 |         37 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/src/jtest_fw.c                                               | C            |          3 |          3 |          4 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/JTest/src/jtest_trigger_action.c                                   | C            |         22 |          7 |          9 |         38 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/all_tests.h                                                    | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/basic_math_tests/basic_math_templates.h                        | C++          |        162 |         68 |         38 |        268 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/basic_math_tests/basic_math_test_data.h                        | C++          |         22 |         13 |         12 |         47 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/basic_math_tests/basic_math_test_group.h                       | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/basic_math_tests/basic_math_tests.h                            | C++          |         12 |          3 |          3 |         18 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/complex_math_tests/complex_math_templates.h                    | C++          |        120 |         74 |         29 |        223 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/complex_math_tests/complex_math_test_data.h                    | C++          |         25 |         12 |         14 |         51 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/complex_math_tests/complex_math_test_group.h                   | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/complex_math_tests/complex_math_tests.h                        | C++          |          9 |          3 |          3 |         15 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/controller_tests/controller_templates.h                        | C++          |         22 |         16 |          9 |         47 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/controller_tests/controller_test_data.h                        | C++          |         17 |          9 |          8 |         34 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/controller_tests/controller_test_group.h                       | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/controller_tests/controller_tests.h                            | C++          |          6 |          3 |          3 |         12 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/fast_math_tests/fast_math_templates.h                          | C++          |         75 |         16 |         12 |        103 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/fast_math_tests/fast_math_test_data.h                          | C++          |         13 |          9 |          8 |         30 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/fast_math_tests/fast_math_test_group.h                         | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/filtering_tests/filtering_templates.h                          | C++          |         38 |         41 |         13 |         92 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/filtering_tests/filtering_test_data.h                          | C++          |         53 |         15 |         14 |         82 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/filtering_tests/filtering_test_group.h                         | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/filtering_tests/filtering_tests.h                              | C++          |          9 |          3 |          4 |         16 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/intrinsics_tests/intrinsics_templates.h                        | C++          |        138 |         16 |         13 |        167 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/intrinsics_tests/intrinsics_test_data.h                        | C++          |         11 |          9 |          8 |         28 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/intrinsics_tests/intrinsics_test_group.h                       | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/math_helper.h                                                  | C++          |         19 |         30 |          4 |         53 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/matrix_tests/matrix_templates.h                                | C++          |        269 |         62 |         40 |        371 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/matrix_tests/matrix_test_data.h                                | C++          |         30 |         14 |         11 |         55 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/matrix_tests/matrix_test_group.h                               | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/matrix_tests/matrix_tests.h                                    | C++          |         12 |          3 |          3 |         18 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/statistics_tests/statistics_templates.h                        | C++          |         86 |         43 |         29 |        158 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/statistics_tests/statistics_test_data.h                        | C++          |         21 |         12 |         12 |         45 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/statistics_tests/statistics_test_group.h                       | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/statistics_tests/statistics_tests.h                            | C++          |         10 |          3 |          3 |         16 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/support_tests/support_templates.h                              | C++          |         63 |         41 |         17 |        121 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/support_tests/support_test_data.h                              | C++          |         13 |         10 |          9 |         32 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/support_tests/support_test_group.h                             | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/support_tests/support_tests.h                                  | C++          |          6 |          3 |          3 |         12 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/templates/template.h                                           | C++          |         48 |         31 |         10 |         89 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/templates/test_templates.h                                     | C++          |        330 |        102 |         35 |        467 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/transform_tests/transform_templates.h                          | C++          |        114 |         53 |         15 |        182 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/transform_tests/transform_test_data.h                          | C++          |         27 |         12 |         10 |         49 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/transform_tests/transform_test_group.h                         | C++          |          4 |          3 |          3 |         10 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/transform_tests/transform_tests.h                              | C++          |          8 |          3 |          3 |         14 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/inc/type_abbrev.h                                                  | C++          |         17 |         14 |          7 |         38 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/ARMCC/Retarget.c                                          | C            |         22 |         15 |         16 |         53 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/ARMCC/startup_armv6-m.s                                   | ARM          |         65 |         31 |         16 |        112 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/ARMCC/startup_armv7-m.s                                   | ARM          |         88 |         31 |         16 |        135 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/ARMCLANG/startup_armv6-m.S                                | ARM          |         74 |         37 |         17 |        128 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/ARMCLANG/startup_armv7-m.S                                | ARM          |        102 |         37 |         21 |        160 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/GCC/Retarget.c                                            | C            |         69 |         15 |         23 |        107 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/GCC/startup_armv6-m.S                                     | ARM          |        149 |         85 |         30 |        264 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/GCC/startup_armv7-m.S                                     | ARM          |        147 |         85 |         26 |        258 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/startup_generic.S                                         | ARM          |         63 |          0 |          6 |         69 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMCM0.c                                           | C            |         13 |         35 |          9 |         57 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMCM23.c                                          | C            |         31 |         38 |         14 |         83 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMCM3.c                                           | C            |         19 |         38 |         12 |         69 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMCM33.c                                          | C            |         45 |         38 |         17 |        100 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMCM4.c                                           | C            |         32 |         38 |         14 |         84 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMCM7.c                                           | C            |         34 |         38 |         14 |         86 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMSC000.c                                         | C            |         13 |         35 |          9 |         57 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMSC300.c                                         | C            |         22 |         38 |         13 |         73 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMv8MBL.c                                         | C            |         25 |         38 |         14 |         77 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_ARMv8MML.c                                         | C            |         46 |         38 |         16 |        100 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/platform/system_generic.c                                          | C            |         19 |          0 |          9 |         28 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/all_tests.c                                                    | C            |         45 |          6 |         12 |         63 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/abs_tests.c                                   | C            |         25 |          3 |          5 |         33 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/add_tests.c                                   | C            |         26 |          3 |          5 |         34 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/basic_math_test_common_data.c                 | C            |         60 |         22 |         20 |        102 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/basic_math_test_group.c                       | C            |         15 |          0 |          3 |         18 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/dot_prod_tests.c                              | C            |         26 |          3 |          5 |         34 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/mult_tests.c                                  | C            |         26 |          3 |          5 |         34 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/negate_tests.c                                | C            |         25 |          3 |          5 |         33 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/offset_tests.c                                | C            |         26 |          3 |          5 |         34 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/scale_tests.c                                 | C            |         42 |          4 |          7 |         53 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/shift_tests.c                                 | C            |         24 |          3 |          5 |         32 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/basic_math_tests/sub_tests.c                                   | C            |         26 |          3 |          5 |         34 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/complex_math_tests/cmplx_conj_tests.c                          | C            |         24 |          3 |          5 |         32 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/complex_math_tests/cmplx_dot_prod_tests.c                      | C            |         24 |          3 |          5 |         32 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/complex_math_tests/cmplx_mag_squared_tests.c                   | C            |         24 |          3 |          5 |         32 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/complex_math_tests/cmplx_mag_tests.c                           | C            |         24 |          3 |          5 |         32 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/complex_math_tests/cmplx_mult_cmplx_tests.c                    | C            |         24 |          3 |          5 |         32 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/complex_math_tests/cmplx_mult_real_test.c                      | C            |         24 |          3 |          5 |         32 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/complex_math_tests/complex_math_test_common_data.c             | C            |         85 |         10 |         20 |        115 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/complex_math_tests/complex_math_test_group.c                   | C            |         12 |          0 |          3 |         15 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/controller_tests/controller_test_common_data.c                 | C            |        484 |          6 |         10 |        500 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/controller_tests/controller_test_group.c                       | C            |          9 |          3 |          2 |         14 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/controller_tests/pid_reset_tests.c                             | C            |         36 |         11 |          6 |         53 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/controller_tests/pid_tests.c                                   | C            |         65 |         10 |          5 |         80 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/controller_tests/sin_cos_tests.c                               | C            |        100 |         34 |         18 |        152 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/fast_math_tests/fast_math_tests.c                              | C            |         25 |          6 |          8 |         39 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/fast_math_tests/fast_math_tests_common_data.c                  | C            |        355 |          8 |          8 |        371 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/filtering_tests/biquad_tests.c                                 | C            |        211 |         10 |         24 |        245 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/filtering_tests/conv_tests.c                                   | C            |        348 |         78 |         48 |        474 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/filtering_tests/correlate_tests.c                              | C            |        203 |         74 |         34 |        311 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/filtering_tests/filtering_test_common_data.c                   | C            |        702 |         26 |         30 |        758 |
| /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode/Drivers/CMSIS/DSP/DSP_Lib_TestSuite/Common/src/filtering_tests/filtering_test_group.c                         | C            |         12 |          3 |          3 |         18 |
